Version 1.1
Scenario 12
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
1, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
183, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
199, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
217, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
266, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
283, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
316, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
333, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
350, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
367, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
384, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
416, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
433, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
449, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
467, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
483, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
517, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
533, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
550, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
566, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
616, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
634, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
650, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
666, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
683, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
716, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
734, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750, -561, -4257, 2701, 2328, -4976, 2535, 4192, 355, 1781, 2150, 1349, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
